Bloomly Phase ,Nutrition,Exercise ,Mindfulness
Wind Down (Menstruation),"Iron-rich foods (leafy greens, legumes) to replenish lost iron","Gentle movement: yoga, stretching, restorative Pilates, light walking","Gentle meditation, deep breathing, journaling"
,"Magnesium-rich foods (nuts, seeds) for cramps and bloating",Low-impact cardio if energy allows,Short or long sessions depending on mood:
,"Hydrate, eat small frequent meals", Focus on listening to your body,“Great” ? longer meditation
,Warm foods and drinks for comfort,,"“Not great/Bad” ? short breathing exercises, rest-focused practices"
Calm Phase (Follicular Phase),Protein and fiber for rising energy,"Moderate to intense workouts: strength training, cardio, dance, circuits",Mood-guided mindfulness:
,"Fresh fruits, vegetables, whole grains",Experiment with new activities,"“Great/Good” ? goal-setting, visualization, active meditations"
,Nutrient-dense meals to fuel workouts and focus,Energy is rising; push a bit more,"“Okay/Not great/Bad” ? shorter mindful pauses, breathing, light journaling"
,Maintain hydration,,Emphasis on clarity and motivation
Bloom Phase (Ovulation),"Lean protein, complex carbs, healthy fats","High-intensity workouts, running, competitive sports, strength training",Mood-guided mindfulness:
,Zinc-rich foods for hormone support,Social or group exercise can be motivating,"“Great” ? active meditations, breathwork"
,Maintain hydration for peak energy,Body responds well to challenging workouts,"“Not great/Bad” ? gentle mindfulness, grounding, restorative yoga"
,,,Focus on self-expression and social connection
Reflect (Luteal Phase),Complex carbs to stabilize mood,"Moderate workouts: yoga, swimming, Pilates, walking","Highly reflective practices: journaling, meditation, gratitude"
,"Magnesium-rich foods (leafy greens, nuts, seeds) for PMS",Gentle cardio or low-intensity strength, Mood-guided intensity:
,"Small, frequent meals to maintain energy","Emphasis on slowing down, body awareness","“Great/Good” ? focused reflection, mindfulness journaling"
,Limit caffeine/refined sugar,,"“Okay/Not great/Bad” ? short breathing, restorative yoga, guided relaxation"
,,,Emphasis on emotional regulation and self-compassion
